,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Europa,Mars,True,PSO J318.5-22,TRAPPIST-1e,True,B,C,D,E,F,G,P,S,T,G,P,S
5444,0.02531645569620253,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4592,0.6582278481012658,0.0030711244503385214,0.0,0.0,0.0018743305962156374,0.07172751004848134,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4563,0.24050632911392406,0.02952467369302715,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5549,0.24050632911392406,0.00013959656592447826,0.00010062724314896186,0.01915545717691129,0.009103891467333095,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2271,0.3037974683544304,0.015844210232428282,0.01801227652366417,0.0005533798739996594,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2315,0.45569620253164556,0.0,0.0,0.0,0.0014726883255980008,0.025649525545932955,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175,0.6582278481012658,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2557,0.18987341772151897,0.05206951908983039,0.0,8.513536523071684e-05,0.0,0.0004558074006547052,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8301,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4093,0.24050632911392406,0.05981712849863893,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8398,0.6455696202531646,0.022614643679765477,0.0,0.023965605312446788,0.005310603355944306,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7128,0.7088607594936709,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1847,0.2911392405063291,0.0,0.2695803843960688,0.0,4.4626918957515175e-05,8.287407284631003e-05,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2543,0.18987341772151897,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2561,0.3670886075949367,0.009981154463600195,0.01838124308187703,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4525,0.34177215189873417,0.04641585816988902,0.021165263475664976,4.256768261535842e-05,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
7217,0.34177215189873417,0.008236197389544217,0.05933653104350451,0.17567682615358418,0.005265976436986791,0.025649525545932955,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
