,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Europa,Mars,True,PSO J318.5-22,TRAPPIST-1e,True,B,C,D,E,F,G,P,S,T,G,P,S
840,0.2911392405063291,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3739,0.1518987341772152,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1577,0.620253164556962,0.0,0.002247341763660148,0.009066916397071342,8.925383791503035e-05,0.05975220652218953,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5710,0.31645569620253167,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
3671,0.25316455696202533,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2112,0.37974683544303794,0.0429957423047393,0.0,0.007875021283841308,0.009371652981078187,0.01968259230099863,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6908,0.37974683544303794,0.0,0.0,0.023284522390601053,0.0,0.017527866406994573,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
4652,0.3037974683544304,0.00020939484888671738,0.03414617784188106,0.029243997956751235,0.002231345947875759,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
821,0.24050632911392406,0.0,0.005433871130043941,0.022986548612293545,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
5617,0.4177215189873418,0.2156766943533189,0.0,0.0343946875532096,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2269,0.26582278481012656,0.0529768967683395,0.0,0.0,0.0,0.0016574814569262006,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
3743,0.10126582278481013,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
601,0.4050632911392405,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
4129,0.4810126582278481,0.0,6.708482876597457e-05,0.0171973437766048,0.005399857193859336,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2619,0.2911392405063291,0.0012563690933203044,0.087042565323852,0.0,0.0,0.005055318443624912,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6610,0.569620253164557,6.979828296223913e-05,0.0005031362157448093,0.0018729780350757704,0.0,0.06385447312808187,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4380,0.3037974683544304,0.04906819292245411,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
5384,0.2911392405063291,0.006142248900677043,0.0,0.02494466201260003,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
3343,0.10126582278481013,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7902,0.4050632911392405,0.05981712849863893,0.005299701472511991,0.0,0.0014726883255980008,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1353,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
4218,0.35443037974683544,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8288,0.9620253164556962,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2198,0.37974683544303794,0.0018845536399804564,0.18153154664072718,0.003660820704920824,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
7129,0.8481012658227848,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5134,0.25316455696202533,0.0,0.0003018817294468856,0.0034905499744593903,0.0006247768654052124,0.02917167364190113,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2650,0.43037974683544306,0.0,0.008385603595746822,0.0009790567001532436,0.0,0.021298636721501677,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
7823,0.22784810126582278,0.0,0.0,0.07628128724672228,0.0007140307033202428,0.010276385032942445,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8228,0.0759493670886076,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2108,0.3670886075949367,0.0,0.0,0.0376723991145922,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8240,0.3670886075949367,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
5789,0.3291139240506329,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6138,0.2911392405063291,0.0,0.0014758662328514405,0.0,0.15405212424134238,0.0034392740231218664,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2494,0.6455696202531646,0.0,0.01012980914366216,0.0,0.061004998214923244,0.027721377367090707,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
6091,0.3037974683544304,0.0009771759614713477,0.0,4.256768261535842e-05,0.023563013209568013,0.004516636970123897,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2334,0.35443037974683544,0.00013959656592447826,0.07191493643712474,0.0,0.0194127097465191,0.24331827787676624,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
971,0.2911392405063291,0.0754519438821805,0.0,0.0,0.0,0.0002900592549620851,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7587,0.3924050632911392,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1085,0.5189873417721519,0.0020241502059049348,0.0,0.04661161246381747,0.0,0.00016574814569262006,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
7247,0.49367088607594933,0.0,0.013249253681279978,0.0,0.04516244198500536,0.044751999337007416,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2440,0.21518987341772153,0.0,0.02025961828732432,0.0,0.0,0.009033273940247794,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
8663,0.16455696202531644,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6761,0.2911392405063291,0.0,0.004494683527320296,0.020517623020602758,0.0,0.0011187999834251854,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2527,0.25316455696202533,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
4483,0.22784810126582278,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7832,0.31645569620253167,0.0,0.05611645926273773,0.0,0.028650481970724742,0.02535946629097087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6269,0.569620253164557,0.0,0.01049877570187502,0.07623871956410692,0.018475544448411284,0.06940703600878464,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6303,0.35443037974683544,0.002233545054791652,0.0,0.012940575515068959,0.012986433416636916,8.287407284631003e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4908,0.20253164556962025,0.018915334682766804,0.0,0.09581985356717179,0.005221349518029276,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1602,0.21518987341772153,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
8290,0.3037974683544304,0.050673553430585605,0.11699594136785965,0.008513536523071684,0.000758657622277758,0.01139518501636763,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5322,0.31645569620253167,0.09841557897675716,0.004125716969107436,0.0011067597479993189,0.0004016422706176366,0.03364687357560187,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
422,0.0759493670886076,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1395,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2775,0.3037974683544304,0.01207510295246737,0.0,0.0005959475566150178,0.0,0.024986532963162476,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2083,0.25316455696202533,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8201,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
3570,0.18987341772151897,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
260,0.49367088607594933,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1534,0.24050632911392406,0.0,0.0003018817294468856,0.0,0.0,4.1437036423155016e-05,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2573,0.22784810126582278,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2713,0.31645569620253167,0.0,0.0003018817294468856,0.08534820364379363,0.0,0.00020718518211577507,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
6934,0.5063291139240507,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6845,0.27848101265822783,0.041390381796607804,0.0011404420890215677,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
4767,0.24050632911392406,0.0,0.12578405393620232,0.0,0.0,0.0016989184933493557,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3042,0.20253164556962025,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6887,0.45569620253164556,0.002163746771829413,0.12024955556300942,0.001319598161076111,0.06247768654052124,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
667,0.27848101265822783,0.0,0.019488142756515614,0.009620296271071003,0.003302392002856123,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2920,0.5443037974683544,0.0002791931318489565,0.0,0.07806912991656734,4.4626918957515175e-05,0.002734844403928231,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3075,0.4050632911392405,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7521,0.3670886075949367,0.0,0.0472277194512461,0.0,0.01820778293466619,4.1437036423155016e-05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2558,0.3924050632911392,0.10546520555594333,0.0,0.013195981610761109,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
5732,0.3291139240506329,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7844,0.6582278481012658,0.0,0.0,0.02715818150859867,0.005132095680114245,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2835,0.49367088607594933,0.0,0.0,0.0,0.07787397358086398,0.0029834666224671613,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
4892,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
